,album_id,artist_id,name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,chart_position,monthly_listeners,followers,playcount
1439,1qUuOtsaAWlD6D83AebzD0,7jocoSCuCtpCxCI6IbP8ye,The Humpty Dance,0.813,0.693,10,-8.0,0,0.266,0.0341,0.0,0.121,0.618,103.508,audio_features,3OcQkcvTcohs8vO8Rd3sKF,spotify:track:3OcQkcvTcohs8vO8Rd3sKF,https://api.spotify.com/v1/tracks/3OcQkcvTcohs8vO8Rd3sKF,https://api.spotify.com/v1/audio-analysis/3OcQkcvTcohs8vO8Rd3sKF,391693,4,0,817224,428898,65795903
1440,130MGfLj8lB4zyGiCQuhFH,3ScY9CQxNLQei8Umvpx5g6,All The Way Up (Remix),0.564,0.717,10,-6.403,0,0.397,0.097,0.0,0.493,0.423,117.489,audio_features,2AYTGaclgKXACh13nJRVcV,spotify:track:2AYTGaclgKXACh13nJRVcV,https://api.spotify.com/v1/tracks/2AYTGaclgKXACh13nJRVcV,https://api.spotify.com/v1/audio-analysis/2AYTGaclgKXACh13nJRVcV,284831,5,0,6763530,1329129,148420802
1441,5bGumbB29JBPlv4ECVURka,2zrZfs23sjuHDv4E6YRmNf,Jump,0.749,0.745,2,-10.625,1,0.164,0.000501,0.00403,0.333,0.481,101.972,audio_features,27AHAtAirQapVldIm4c9ZX,spotify:track:27AHAtAirQapVldIm4c9ZX,https://api.spotify.com/v1/tracks/27AHAtAirQapVldIm4c9ZX,https://api.spotify.com/v1/audio-analysis/27AHAtAirQapVldIm4c9ZX,195107,4,0,1151266,369902,132292515
1442,5tocCryeqWvFXn65seo0p6,6vwFR7NilfrQ4AX0d41fWu,It Takes Two,0.8,0.723,2,-9.719,1,0.158,0.00228,0.0,0.26,0.651,111.593,audio_features,0gFB5H3pHN13ERt2FyMuWi,spotify:track:0gFB5H3pHN13ERt2FyMuWi,https://api.spotify.com/v1/tracks/0gFB5H3pHN13ERt2FyMuWi,https://api.spotify.com/v1/audio-analysis/0gFB5H3pHN13ERt2FyMuWi,300640,4,0,589042,147623,62786911
1443,2ph5H0raLIGKzM5Jih9ue8,55Pp4Ns5VfTSFsBraW7MQy,I Wish - Radio Edit,0.665,0.809,7,-7.147,1,0.172,0.00114,0.0,0.384,0.573,97.841,audio_features,74WFSCXc8yHY7HDXREiLpM,spotify:track:74WFSCXc8yHY7HDXREiLpM,https://api.spotify.com/v1/tracks/74WFSCXc8yHY7HDXREiLpM,https://api.spotify.com/v1/audio-analysis/74WFSCXc8yHY7HDXREiLpM,250600,4,0,1154073,53492,117340260
1444,4t2p7hq4ocNhv53ZcS6QM7,09hVIj6vWgoCDtT03h8ZCa,Award Tour,0.72,0.592,7,-9.639,1,0.304,0.00274,7.18e-06,0.175,0.512,97.204,audio_features,1Zb8rQeMCqTJVDGAEZzNBt,spotify:track:1Zb8rQeMCqTJVDGAEZzNBt,https://api.spotify.com/v1/tracks/1Zb8rQeMCqTJVDGAEZzNBt,https://api.spotify.com/v1/audio-analysis/1Zb8rQeMCqTJVDGAEZzNBt,226800,4,0,4220863,1681852,67684708
1445,3kV0i1qqudjf0PGawJ4jck,09hVIj6vWgoCDtT03h8ZCa,Can I Kick It?,0.848,0.666,0,-6.547,1,0.274,0.173,0.000699,0.129,0.744,96.662,audio_features,3Ti0GdlrotgwsAVBBugv0I,spotify:track:3Ti0GdlrotgwsAVBBugv0I,https://api.spotify.com/v1/tracks/3Ti0GdlrotgwsAVBBugv0I,https://api.spotify.com/v1/audio-analysis/3Ti0GdlrotgwsAVBBugv0I,251573,4,0,4220863,1681852,199841154
1446,0K2A6RaCTpcNKTZwvLMeqY,1HwM5zlC5qNWhJtM00yXzG,Party Up (Up in Here) - Re-Recorded,0.736,0.834,1,-3.052,0,0.0969,0.077,0.0,0.407,0.234,100.979,audio_features,4XSgaQfGgJ9FDCcvmOe404,spotify:track:4XSgaQfGgJ9FDCcvmOe404,https://api.spotify.com/v1/tracks/4XSgaQfGgJ9FDCcvmOe404,https://api.spotify.com/v1/audio-analysis/4XSgaQfGgJ9FDCcvmOe404,297040,4,0,8369745,3411618,25600225
1447,0K2A6RaCTpcNKTZwvLMeqY,1HwM5zlC5qNWhJtM00yXzG,Ruff Ryders' Anthem - Re-Recorded,0.867,0.796,6,-4.73,1,0.0693,0.202,0.0,0.0838,0.776,92.766,audio_features,32SFvZODywPBVDYSYtqxCj,spotify:track:32SFvZODywPBVDYSYtqxCj,https://api.spotify.com/v1/tracks/32SFvZODywPBVDYSYtqxCj,https://api.spotify.com/v1/audio-analysis/32SFvZODywPBVDYSYtqxCj,231040,4,0,8369745,3411618,92013146
1448,0bCx3zLZj4wezD07YFrLPM,0kJMPTXq7h3ztpDukSx5iD,Ghetto Supastar (That is What You Are) (feat. Ol' Dirty Bastard & Mýa),0.818,0.653,1,-8.396,1,0.204,0.0335,5.46e-06,0.22,0.533,99.931,audio_features,31bf9SEOppLU6lQ85d8om6,spotify:track:31bf9SEOppLU6lQ85d8om6,https://api.spotify.com/v1/tracks/31bf9SEOppLU6lQ85d8om6,https://api.spotify.com/v1/audio-analysis/31bf9SEOppLU6lQ85d8om6,261133,4,0,3791362,18944,138007155
